tensor(0.0069, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0019, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0014, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0009, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0021, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0017, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.7217e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.7926e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.7325e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4022e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.0426e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.8653e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.4399e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.0256e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.0765e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.3208e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0005, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.1072e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.1008e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.5205e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.4549e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.2788e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.9143e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.2674e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(3.7018e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.9313e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.5039e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.6597e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0011, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.5555e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.9315e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.5752e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.5298e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(7.4722e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(6.5510e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.2452e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.2215e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.7638e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.6467e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.4587e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.4285e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(8.6598e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(9.6847e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(4.3481e-05, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(5.8922e-05, device='cuda:0', grad_fn=<MseLossBackward>)
